2020-07-16 at 17:31:43 | INFO | find_element：正在定位元素信息：定位方式->xpath,value值->//*[@id='username']
2020-07-16 at 17:31:43 | INFO | 元素对象属于值成功，值为lfq001
2020-07-16 at 17:31:43 | INFO | find_element：正在定位元素信息：定位方式->xpath,value值->//*[@id='password']
2020-07-16 at 17:31:44 | INFO | 元素对象属于值成功，值为12345678a
2020-07-16 at 17:31:44 | INFO | find_element：正在定位元素信息：定位方式->xpath,value值->//*[@id='submit']
2020-07-16 at 17:31:44 | INFO | 元素对象点击成功
2020-07-16 at 17:31:44 | INFO | find_element：正在定位元素信息：定位方式->xpath,value值->/html/body/div[4]/div[2]/iframe
2020-07-16 at 17:31:49 | INFO | find_element：正在定位元素信息：定位方式->xpath,value值->//*[@id='tbody']/tr[1]/td[1]/input
2020-07-16 at 17:31:49 | INFO | 元素对象点击成功
2020-07-16 at 17:31:49 | INFO | find_element：正在定位元素信息：定位方式->xpath,value值->/html/body/div[2]/button
2020-07-16 at 17:31:49 | INFO | 元素对象点击成功
2020-07-16 at 17:31:50 | INFO | find_element：正在定位元素信息：定位方式->xpath,value值->//div[@class='layui-layer-content']
